OlinkID;AssayType;UniProt;Assay;Panel;Block;DataAnalysisRefID;BimodalDistribution;LODNPX;LODCount;LODMethod;Version
OID50176;assay;P09211;GSTP1;Reveal;1;R10001;FALSE;-0.92778662077216;6550;lod_npx;10.0.0
OID50177;assay;Q9UKV0;HDAC9;Reveal;1;R10001;FALSE;-3.24074274393291;584;lod_npx;10.0.0
OID50178;assay;Q16665;HIF1A;Reveal;1;R10001;FALSE;-1.42123351600417;3072;lod_npx;10.0.0
OID50179;assay;Q13151;HNRNPA0;Reveal;1;R10001;FALSE;-2.28498483430578;848;lod_npx;10.0.0
OID50180;assay;O60760;HPGDS;Reveal;1;R10001;FALSE;-0.510931174866172;3006;lod_npx;10.0.0
OID50181;assay;P01112;HRAS;Reveal;1;R10001;FALSE;1.75664098219748;2450;lod_npx;10.0.0
OID50182;assay;Q96MM7;HS6ST2;Reveal;1;R10001;FALSE;-1.91407118884526;150;lod_count;10.0.0
OID50183;assay;P14625;HSP90B1;Reveal;1;R10001;FALSE;-0.415758234110983;1052;lod_npx;10.0.0
OID50184;assay;Q05084;ICA1;Reveal;1;R10001;FALSE;-0.354459715399625;9008;lod_npx;10.0.0
OID50185;assay;P09914;IFIT1;Reveal;1;R10001;FALSE;-0.0544636129542272;484;lod_npx;10.0.0
OID50186;assay;O14879;IFIT3;Reveal;1;R10001;FALSE;-0.98632625959142;220;lod_count;10.0.0
OID50187;assay;P01579;IFNG;Reveal;1;R10001;FALSE;-0.766188999164407;6912;lod_npx;10.0.0
OID50188;assay;P22301;IL10;Reveal;1;R10001;FALSE;-1.0289433458027;1942;lod_npx;10.0.0
OID50189;assay;Q13651;IL10RA;Reveal;1;R10001;FALSE;-2.0071420805002;312;lod_npx;10.0.0
OID50190;assay;P20809;IL11;Reveal;1;R10001;FALSE;-2.63399385164938;1898;lod_npx;10.0.0
OID50191;assay;P42701;IL12RB1;Reveal;1;R10001;FALSE;-1.65350660858237;1000;lod_npx;10.0.0
OID50192;assay;P35225;IL13;Reveal;1;R10001;FALSE;0.562707508609746;894;lod_npx;10.0.0
OID50193;assay;Q13261;IL15RA;Reveal;1;R10001;FALSE;0.0595990407084536;5792;lod_npx;10.0.0
OID50194;assay;Q16552;IL17A;Reveal;1;R10001;FALSE;-0.91418597820759;2602;lod_npx;10.0.0
OID50195;assay;Q9P0M4;IL17C;Reveal;1;R10001;FALSE;-2.67083083698433;1640;lod_npx;10.0.0
OID50196;assay;Q8TAD2;IL17D;Reveal;1;R10001;FALSE;-0.927474107603671;2582;lod_npx;10.0.0
OID50197;assay;Q96PD4;IL17F;Reveal;1;R10001;FALSE;-0.418724755489479;5656;lod_npx;10.0.0
OID50198;assay;P01583;IL1A;Reveal;1;R10001;FALSE;1.40530112585125;4104;lod_npx;10.0.0
OID50199;assay;P01584;IL1B;Reveal;1;R10001;FALSE;-1.47155862787617;3758;lod_npx;10.0.0
OID50200;assay;Q9HB29;IL1RL2;Reveal;1;R10001;FALSE;-2.7927130940737;630;lod_npx;10.0.0
OID50201;assay;P60568;IL2;Reveal;1;R10001;FALSE;-0.100315025049071;626;lod_npx;10.0.0
OID50202;assay;Q9NYY1;IL20;Reveal;1;R10001;FALSE;-0.0974311279473383;2580;lod_npx;10.0.0
OID50203;assay;Q9UHF4;IL20RA;Reveal;1;R10001;FALSE;0.398552434497778;9998;lod_npx;10.0.0
OID50205;assay;Q8N6P7;IL22RA1;Reveal;1;R10001;FALSE;-0.872129250482931;1846;lod_npx;10.0.0
OID50206;assay;P14784;IL2RB;Reveal;1;R10001;FALSE;0.299593337782943;276;lod_count;10.0.0
OID50207;assay;Q8NI17;IL31RA;Reveal;1;R10001;FALSE;1.37714913836143;6312;lod_npx;10.0.0
OID50208;assay;O95760;IL33;Reveal;1;R10001;FALSE;1.85310497276284;9846;lod_npx;10.0.0
OID50209;assay;Q9NZH7;IL36B;Reveal;1;R10001;FALSE;0.185286086059687;4174;lod_npx;10.0.0
OID50210;assay;P26951;IL3RA;Reveal;1;R10001;FALSE;-2.57960010380095;2324;lod_npx;10.0.0
OID50211;assay;P05112;IL4;Reveal;1;R10001;FALSE;0.199520710015754;1664;lod_npx;10.0.0
OID50212;assay;P15248;IL9;Reveal;1;R10001;FALSE;0.0745715861036398;2382;lod_npx;10.0.0
OID50213;assay;P51617;IRAK1;Reveal;1;R10001;FALSE;-1.30546109099303;322;lod_npx;10.0.0
OID50214;assay;Q96J02;ITCH;Reveal;1;R10001;FALSE;1.82407795441806;36868;lod_npx;10.0.0
